allowed_for_live_execution,campaign_status,campaign_verdict,ce_profit_factor,ce_trades,entity_id,exact_reason,expectancy_per_trade,final_verdict,gross_loss,gross_profit,holdout_profit_factor,losses,maximum_drawdown,negative_controls,net_pnl,pe_profit_factor,pe_trades,pf_0bps,pf_100bps,pf_25bps,pf_50bps,profit_factor,ranking_eligibility,research_only,selected_signals,sessions,signals,source_file_hashes,strategy_hypothesis_class,trades,validation_profit_factor,win_rate,wins
False,DATA_BLOCKED,KITE_REPLAY_CONTAINS_NO_USABLE_OPTION_PRICE_AUTHORITY,,0,COMPRESSION_BREAKOUT,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,,DATA_BLOCKED,0.0,0.0,SEALED,0,0.0,NOT_RUN_DATA_BLOCKED,0.0,,0,,,,,,False,True,0,0,0,,CANONICAL_STRATEGY,0,,,0
False,DATA_BLOCKED,KITE_REPLAY_CONTAINS_NO_USABLE_OPTION_PRICE_AUTHORITY,,0,EVENT_VOLATILITY_EXPANSION,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,,DATA_BLOCKED,0.0,0.0,SEALED,0,0.0,NOT_RUN_DATA_BLOCKED,0.0,,0,,,,,,False,True,0,0,0,,CANONICAL_STRATEGY,0,,,0
False,DATA_BLOCKED,KITE_REPLAY_CONTAINS_NO_USABLE_OPTION_PRICE_AUTHORITY,,0,EXHAUSTION_REVERSAL,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,,DATA_BLOCKED,0.0,0.0,SEALED,0,0.0,NOT_RUN_DATA_BLOCKED,0.0,,0,,,,,,False,True,0,0,0,,CANONICAL_STRATEGY,0,,,0
False,DATA_BLOCKED,KITE_REPLAY_CONTAINS_NO_USABLE_OPTION_PRICE_AUTHORITY,,0,FAILED_BREAKOUT_TRAP,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,,DATA_BLOCKED,0.0,0.0,SEALED,0,0.0,NOT_RUN_DATA_BLOCKED,0.0,,0,,,,,,False,True,0,0,0,,CANONICAL_STRATEGY,0,,,0
False,DATA_BLOCKED,KITE_REPLAY_CONTAINS_NO_USABLE_OPTION_PRICE_AUTHORITY,,0,LATE_DAY_MOMENTUM,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,,DATA_BLOCKED,0.0,0.0,SEALED,0,0.0,NOT_RUN_DATA_BLOCKED,0.0,,0,,,,,,False,True,0,0,0,,CANONICAL_STRATEGY,0,,,0
False,DATA_BLOCKED,KITE_REPLAY_CONTAINS_NO_USABLE_OPTION_PRICE_AUTHORITY,,0,MEAN_REVERSION_EXTENSION,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,,DATA_BLOCKED,0.0,0.0,SEALED,0,0.0,NOT_RUN_DATA_BLOCKED,0.0,,0,,,,,,False,True,0,0,0,,CANONICAL_STRATEGY,0,,,0
False,DATA_BLOCKED,KITE_REPLAY_CONTAINS_NO_USABLE_OPTION_PRICE_AUTHORITY,,0,OPENING_DRIVE,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,,DATA_BLOCKED,0.0,0.0,SEALED,0,0.0,NOT_RUN_DATA_BLOCKED,0.0,,0,,,,,,False,True,0,0,0,,CANONICAL_STRATEGY,0,,,0
False,DATA_BLOCKED,KITE_REPLAY_CONTAINS_NO_USABLE_OPTION_PRICE_AUTHORITY,,0,OPENING_RANGE_BREAKOUT,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,,DATA_BLOCKED,0.0,0.0,SEALED,0,0.0,NOT_RUN_DATA_BLOCKED,0.0,,0,,,,,,False,True,0,0,0,,CANONICAL_STRATEGY,0,,,0
False,DATA_BLOCKED,KITE_REPLAY_CONTAINS_NO_USABLE_OPTION_PRICE_AUTHORITY,,0,OPTION_PRESSURE,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,,DATA_BLOCKED,0.0,0.0,SEALED,0,0.0,NOT_RUN_DATA_BLOCKED,0.0,,0,,,,,,False,True,0,0,0,,CANONICAL_STRATEGY,0,,,0
False,DATA_BLOCKED,KITE_REPLAY_CONTAINS_NO_USABLE_OPTION_PRICE_AUTHORITY,,0,SIMPLE_ORB,KITE_REPLAY_HAS_UNDERLYING_CANDLES_BUT_NO_OPTION_PRICE_ROWS_WITH_EXPIRY_STRIKE_CE_PE_CONTRACT_IDENTITY,,DATA_BLOCKED,0.0,0.0,SEALED,0,0.0,NOT_RUN_DATA_BLOCKED,0.0,,0,,,,,,False,True,0,0,0,,CANONICAL_STRATEGY,0,,,0
