timestamp,strike,option_type,bid,ask,spread,spread_pct,underlying_price,theoretical_fill,realistic_fill,fill_degradation
2022-07-01 11:30:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,15635.7,150.0,150.35,-0.3499999999999943
2022-07-01 12:00:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,15637.2,150.0,150.35,-0.3499999999999943
2022-07-01 12:30:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,15641.1,150.0,150.35,-0.3499999999999943
2022-07-01 12:45:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,15641.3,150.0,150.35,-0.3499999999999943
2022-07-01 13:00:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,15658.45,150.0,150.35,-0.3499999999999943
2022-07-01 13:15:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,15683.4,150.0,150.35,-0.3499999999999943
2022-07-01 13:30:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,15671.0,150.0,150.35,-0.3499999999999943
2022-07-01 13:45:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,15690.4,150.0,150.35,-0.3499999999999943
2022-07-01 14:00:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,15666.25,150.0,150.35,-0.3499999999999943
2022-07-01 14:15:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,15648.55,150.0,150.35,-0.3499999999999943
2022-07-01 14:30:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,15648.65,150.0,150.35,-0.3499999999999943
2022-07-05 10:30:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,15981.9,150.0,150.35,-0.3499999999999943
2022-07-05 10:45:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,15996.1,150.0,150.35,-0.3499999999999943
2022-07-05 11:00:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,16001.35,150.0,150.35,-0.3499999999999943
2022-07-05 11:15:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,15984.55,150.0,150.35,-0.3499999999999943
2022-07-05 11:30:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,16010.35,150.0,150.35,-0.3499999999999943
2022-07-05 11:45:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,16019.15,150.0,150.35,-0.3499999999999943
2022-07-05 12:00:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,16011.55,150.0,150.35,-0.3499999999999943
2022-07-05 12:15:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,16015.25,150.0,150.35,-0.3499999999999943
2022-07-05 12:30:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,16019.45,150.0,150.35,-0.3499999999999943
2022-07-05 12:45:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,15991.55,150.0,150.35,-0.3499999999999943
2022-07-05 13:00:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,15978.75,150.0,150.35,-0.3499999999999943
2022-07-05 13:15:00,ATM,CE,149.65,150.35,0.7,0.004666666666666666,15975.0,150.0,150.35,-0.3499999999999943
2022-07-05 14:00:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,15878.85,150.0,149.65,0.3499999999999943
2022-07-05 14:15:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,15857.55,150.0,149.65,0.3499999999999943
2022-07-05 14:30:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,15870.6,150.0,149.65,0.3499999999999943
2022-08-04 10:15:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17434.9,150.0,149.65,0.3499999999999943
2022-08-04 10:30:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17421.4,150.0,149.65,0.3499999999999943
2022-08-04 10:45:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17416.65,150.0,149.65,0.3499999999999943
2022-08-04 11:00:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17426.5,150.0,149.65,0.3499999999999943
2022-08-04 11:15:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17396.2,150.0,149.65,0.3499999999999943
2022-08-04 11:30:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17298.45,150.0,149.65,0.3499999999999943
2022-08-04 11:45:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17232.65,150.0,149.65,0.3499999999999943
2022-08-04 12:00:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17236.6,150.0,149.65,0.3499999999999943
2022-08-04 12:15:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17308.15,150.0,149.65,0.3499999999999943
2022-08-04 12:30:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17287.5,150.0,149.65,0.3499999999999943
2022-08-04 12:45:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17301.05,150.0,149.65,0.3499999999999943
2022-08-04 13:00:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17327.9,150.0,149.65,0.3499999999999943
2022-08-04 13:15:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17312.1,150.0,149.65,0.3499999999999943
2022-08-04 13:30:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17331.75,150.0,149.65,0.3499999999999943
2022-08-04 13:45:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17324.5,150.0,149.65,0.3499999999999943
2022-08-04 14:00:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17309.8,150.0,149.65,0.3499999999999943
2022-08-04 14:15:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17285.75,150.0,149.65,0.3499999999999943
2022-08-04 14:30:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17288.9,150.0,149.65,0.3499999999999943
2022-08-19 11:00:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17923.75,150.0,149.65,0.3499999999999943
2022-08-19 11:15:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17879.45,150.0,149.65,0.3499999999999943
2022-08-19 11:30:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17841.45,150.0,149.65,0.3499999999999943
2022-08-19 11:45:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17788.0,150.0,149.65,0.3499999999999943
2022-08-19 12:00:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17815.3,150.0,149.65,0.3499999999999943
2022-08-19 12:15:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17807.1,150.0,149.65,0.3499999999999943
2022-08-19 12:30:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17744.1,150.0,149.65,0.3499999999999943
2022-08-19 12:45:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17779.75,150.0,149.65,0.3499999999999943
2022-08-19 13:00:00,ATM,PE,149.65,150.35,0.7,0.004666666666666666,17771.75,150.0,149.65,0.3499999999999943
