timestamp,symbol,open,high,low,close,volume
2026-08-10 04:30:00+00:00,NIFTY 50,24536.35,24551.4,24530.25,24538.5,0
2026-08-10 04:35:00+00:00,NIFTY 50,24540.6,24547.0,24532.45,24534.65,0
2026-08-10 04:40:00+00:00,NIFTY 50,24535.3,24547.7,24533.75,24544.75,0
2026-08-10 04:45:00+00:00,NIFTY 50,24545.9,24574.9,24545.6,24574.25,0
2026-08-10 04:50:00+00:00,NIFTY 50,24574.95,24593.8,24571.35,24592.55,0
2026-08-10 04:55:00+00:00,NIFTY 50,24594.35,24595.4,24580.25,24594.8,0
2026-08-10 05:00:00+00:00,NIFTY 50,24595.2,24601.15,24584.85,24585.55,0
2026-08-10 05:05:00+00:00,NIFTY 50,24586.0,24595.05,24585.5,24593.85,0
2026-08-10 05:10:00+00:00,NIFTY 50,24594.9,24605.35,24592.9,24603.65,0
2026-08-10 05:15:00+00:00,NIFTY 50,24604.1,24614.5,24600.15,24600.9,0
2026-08-10 05:20:00+00:00,NIFTY 50,24601.2,24603.05,24586.35,24588.0,0
2026-08-10 05:25:00+00:00,NIFTY 50,24588.4,24590.9,24585.85,24588.2,0
2026-08-10 05:30:00+00:00,NIFTY 50,24588.8,24601.05,24587.95,24600.75,0
2026-08-10 05:35:00+00:00,NIFTY 50,24600.2,24602.05,24589.35,24591.3,0
2026-08-10 05:40:00+00:00,NIFTY 50,24591.95,24602.7,24586.2,24602.35,0
2026-08-10 05:45:00+00:00,NIFTY 50,24602.9,24604.15,24592.65,24601.6,0
2026-08-10 05:50:00+00:00,NIFTY 50,24602.5,24607.7,24597.15,24601.15,0
2026-08-10 05:55:00+00:00,NIFTY 50,24601.25,24610.45,24600.2,24603.9,0
2026-08-10 06:00:00+00:00,NIFTY 50,24604.25,24604.95,24581.65,24585.4,0
2026-08-10 06:05:00+00:00,NIFTY 50,24585.85,24599.9,24581.05,24595.55,0
2026-08-10 06:10:00+00:00,NIFTY 50,24596.65,24600.75,24582.7,24583.15,0
2026-08-10 06:15:00+00:00,NIFTY 50,24583.5,24598.5,24574.65,24591.25,0
2026-08-10 06:20:00+00:00,NIFTY 50,24591.9,24599.4,24586.45,24586.45,0
2026-08-10 06:25:00+00:00,NIFTY 50,24587.65,24597.5,24583.0,24588.2,0
2026-08-10 06:30:00+00:00,NIFTY 50,24588.9,24589.15,24584.35,24584.8,0
